task_id,method,repeat,utility,tool_results_seen,plan_hits,plan_misses,tool_name_mismatches,argument_mismatches,parse_failures,tool_errors_preserved,trajectory_match,task_level_gate_pass,comparison_eligible,error
user_task_0,raw,1,True,3,0,3,0,0,0,1,False,False,False,
user_task_0,raw,2,True,3,0,3,0,0,0,1,False,False,False,
user_task_0,raw,3,True,1,1,0,0,0,0,0,True,False,False,
user_task_0,raw,4,True,3,0,3,0,0,0,1,False,False,False,
user_task_0,raw,5,True,1,1,0,0,0,0,0,True,False,False,
user_task_1,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_1,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_3,minobs,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_4,raw,1,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,raw,2,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,raw,3,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,raw,4,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,raw,5,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,relevant,1,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,relevant,2,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,relevant,3,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,relevant,4,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,relevant,5,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,minobs,1,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,minobs,2,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,minobs,3,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,minobs,4,True,3,3,0,0,0,0,0,True,True,True,
user_task_4,minobs,5,True,3,3,0,0,0,0,0,True,True,True,
user_task_5,raw,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,raw,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,raw,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,raw,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,raw,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,relevant,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,relevant,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,relevant,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,relevant,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,relevant,5,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,minobs,1,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,minobs,2,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,minobs,3,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,minobs,4,True,1,1,0,0,0,0,0,True,True,True,
user_task_5,minobs,5,True,5,1,4,0,0,0,0,False,True,True,
user_task_6,raw,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,raw,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,raw,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,raw,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,raw,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,relevant,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,relevant,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,relevant,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,relevant,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,relevant,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,minobs,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,minobs,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,minobs,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,minobs,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_6,minobs,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_7,raw,1,True,2,2,0,0,0,0,0,True,True,True,
user_task_7,raw,2,True,2,2,0,0,0,0,0,True,True,True,
user_task_7,raw,3,True,2,2,0,0,0,0,0,True,True,True,
user_task_7,raw,4,True,2,2,0,0,0,0,0,True,True,True,
user_task_7,raw,5,True,2,2,0,0,0,0,0,True,True,True,
user_task_7,relevant,1,False,1,1,0,0,0,0,0,False,True,True,
user_task_7,relevant,2,False,3,1,2,1,0,0,0,False,True,True,
user_task_7,relevant,3,False,1,1,0,0,0,0,0,False,True,True,
user_task_7,relevant,4,False,1,1,0,0,0,0,0,False,True,True,
user_task_7,relevant,5,False,1,1,0,0,0,0,0,False,True,True,
user_task_7,minobs,1,True,2,1,1,0,1,0,0,False,True,True,
user_task_7,minobs,2,True,2,1,1,0,1,0,0,False,True,True,
user_task_7,minobs,3,True,2,1,1,0,1,0,0,False,True,True,
user_task_7,minobs,4,True,2,1,1,0,1,0,0,False,True,True,
user_task_7,minobs,5,True,2,1,1,0,1,0,0,False,True,True,
user_task_8,raw,1,True,2,2,0,0,0,0,0,True,True,True,
