task_id,condition,repeat,utility
user_task_1,minobs,1,True
user_task_1,minobs,2,True
user_task_1,minobs,3,True
user_task_1,minobs,4,True
user_task_1,minobs,5,True
user_task_3,minobs,1,True
user_task_3,minobs,2,True
user_task_3,minobs,3,True
user_task_3,minobs,4,True
user_task_3,minobs,5,True
user_task_4,minobs,1,True
user_task_4,minobs,2,True
user_task_4,minobs,3,True
user_task_4,minobs,4,True
user_task_4,minobs,5,True
user_task_5,minobs,1,True
user_task_5,minobs,2,True
user_task_5,minobs,3,True
user_task_5,minobs,4,True
user_task_5,minobs,5,True
user_task_6,minobs,1,True
user_task_6,minobs,2,True
user_task_6,minobs,3,True
user_task_6,minobs,4,True
user_task_6,minobs,5,True
user_task_7,minobs,1,True
user_task_7,minobs,2,True
user_task_7,minobs,3,True
user_task_7,minobs,4,True
user_task_7,minobs,5,True
user_task_8,minobs,1,True
user_task_8,minobs,2,True
user_task_8,minobs,3,True
user_task_8,minobs,4,True
user_task_8,minobs,5,True
user_task_9,minobs,1,True
user_task_9,minobs,2,True
user_task_9,minobs,3,True
user_task_9,minobs,4,True
user_task_9,minobs,5,True
user_task_12,minobs,1,True
user_task_12,minobs,2,True
user_task_12,minobs,3,True
user_task_12,minobs,4,True
user_task_12,minobs,5,True
user_task_14,minobs,1,True
user_task_14,minobs,2,True
user_task_14,minobs,3,True
user_task_14,minobs,4,True
user_task_14,minobs,5,True
user_task_16,minobs,1,True
user_task_16,minobs,2,True
user_task_16,minobs,3,True
user_task_16,minobs,4,True
user_task_16,minobs,5,True
user_task_17,minobs,1,True
user_task_17,minobs,2,True
user_task_17,minobs,3,True
user_task_17,minobs,4,True
user_task_17,minobs,5,True
user_task_22,minobs,1,True
user_task_22,minobs,2,True
user_task_22,minobs,3,True
user_task_22,minobs,4,True
user_task_22,minobs,5,True
user_task_24,minobs,1,True
user_task_24,minobs,2,True
user_task_24,minobs,3,True
user_task_24,minobs,4,True
user_task_24,minobs,5,True
user_task_26,minobs,1,True
user_task_26,minobs,2,True
user_task_26,minobs,3,True
user_task_26,minobs,4,True
user_task_26,minobs,5,True
user_task_27,minobs,1,True
user_task_27,minobs,2,True
user_task_27,minobs,3,True
user_task_27,minobs,4,True
user_task_27,minobs,5,True
user_task_28,minobs,1,True
user_task_28,minobs,2,True
user_task_28,minobs,3,True
user_task_28,minobs,4,True
user_task_28,minobs,5,True
user_task_35,minobs,1,True
user_task_35,minobs,2,True
user_task_35,minobs,3,True
user_task_35,minobs,4,True
user_task_35,minobs,5,True
user_task_38,minobs,1,True
user_task_38,minobs,2,True
user_task_38,minobs,3,True
user_task_38,minobs,4,True
user_task_38,minobs,5,True
user_task_1,w_o_sufficiency,1,True
user_task_1,w_o_sufficiency,2,False
user_task_1,w_o_sufficiency,3,False
user_task_1,w_o_sufficiency,4,False
user_task_1,w_o_sufficiency,5,True
user_task_3,w_o_sufficiency,1,True
user_task_3,w_o_sufficiency,2,True
user_task_3,w_o_sufficiency,3,False
user_task_3,w_o_sufficiency,4,True
user_task_3,w_o_sufficiency,5,False
user_task_4,w_o_sufficiency,1,True
user_task_4,w_o_sufficiency,2,True
user_task_4,w_o_sufficiency,3,True
user_task_4,w_o_sufficiency,4,True
user_task_4,w_o_sufficiency,5,True
user_task_5,w_o_sufficiency,1,True
user_task_5,w_o_sufficiency,2,False
user_task_5,w_o_sufficiency,3,True
user_task_5,w_o_sufficiency,4,False
user_task_5,w_o_sufficiency,5,True
user_task_6,w_o_sufficiency,1,True
user_task_6,w_o_sufficiency,2,True
